id,question,choices,answer,A,B,C,D,answer_pred,correct
VH026,Nền văn minh Maya cổ đại phát triển rực rỡ ở khu vực nào?,"{'A': 'Nam Mỹ', 'B': 'Trung Mỹ', 'C': 'Bắc Mỹ', 'D': 'Vùng Caribe'}",B,Nam Mỹ,Trung Mỹ,Bắc Mỹ,Vùng Caribe,A,0
VH027,Lễ hội Hoa anh đào (Hanami) là một nét văn hóa đặc trưng của quốc gia nào?,"{'A': 'Trung Quốc', 'B': 'Hàn Quốc', 'C': 'Nhật Bản', 'D': 'Đài Loan'}",C,Trung Quốc,Hàn Quốc,Nhật Bản,Đài Loan,D,0
VH028,"Tác phẩm văn học ""Truyện Kiều"" là của đại thi hào nào của Việt Nam?","{'A': 'Nguyễn Du', 'B': 'Nguyễn Trãi', 'C': 'Hồ Xuân Hương', 'D': 'Bà Huyện Thanh Quan'}",A,Nguyễn Du,Nguyễn Trãi,Hồ Xuân Hương,Bà Huyện Thanh Quan,B,0
VH029,"Vũ điệu Flamenco, với tiếng đàn guitar và những bước nhảy mạnh mẽ, là đặc sản văn hóa của vùng nào ở Tây Ban Nha?","{'A': 'Catalonia', 'B': 'Andalusia', 'C': 'Basque', 'D': 'Galicia'}",B,Catalonia,Andalusia,Basque,Galicia,D,0
VH030,Hệ thống đẳng cấp (Varna) là một đặc trưng của xã hội truyền thống ở quốc gia nào?,"{'A': 'Trung Quốc', 'B': 'Ai Cập', 'C': 'Ấn Độ', 'D': 'Hy Lạp'}",C,Trung Quốc,Ai Cập,Ấn Độ,Hy Lạp,A,0
VH031,Món ăn nào được coi là quốc hồn quốc túy của ẩm thực Việt Nam?,"{'A': 'Bún chả', 'B': 'Phở', 'C': 'Bánh mì', 'D': 'Nem rán'}",B,Bún chả,Phở,Bánh mì,Nem rán,C,0
VH032,"Nhà soạn nhạc thiên tài nào người Áo được mệnh danh là ""thần đồng âm nhạc""?","{'A': 'Bach', 'B': 'Beethoven', 'C': 'Mozart', 'D': 'Chopin'}",C,Bach,Beethoven,Mozart,Chopin,A,0
VH033,"Tháp Eiffel, biểu tượng của Paris, được xây dựng nhân dịp sự kiện nào?","{'A': 'Kỷ niệm 100 năm Cách mạng Pháp', 'B': 'Triển lãm Thế giới năm 1889', 'C': 'Thế vận hội Olympic', 'D': 'Lễ đăng quang của Napoléon'}",B,Kỷ niệm 100 năm Cách mạng Pháp,Triển lãm Thế giới năm 1889,Thế vận hội Olympic,Lễ đăng quang của Napoléon,D,0
VH034,"Trong văn hóa phương Tây, con số nào thường được coi là không may mắn?","{'A': '7', 'B': '12', 'C': '13', 'D': '21'}",C,7,12,13,21,A,0
VH035,Nghệ thuật Tuồng là một loại hình sân khấu truyền thống của vùng nào ở Việt Nam?,"{'A': 'Miền Bắc', 'B': 'Miền Trung', 'C': 'Miền Nam', 'D': 'Tây Nguyên'}",B,Miền Bắc,Miền Trung,Miền Nam,Tây Nguyên,B,1
VH036,Nhân vật Thạch Sanh trong truyện cổ tích Việt Nam đã dùng vũ khí gì để chiến đấu với đại bàng?,"{'A': 'Gươm thần', 'B': 'Cung tên vàng', 'C': 'Niêu cơm thần', 'D': 'Đàn thần'}",B,Gươm thần,Cung tên vàng,Niêu cơm thần,Đàn thần,D,0
VH037,Phong cách nghệ thuật nào của thế kỷ 20 nổi tiếng với việc sử dụng các hình khối hình học?,"{'A': 'Ấn tượng', 'B': 'Lập thể', 'C': 'Siêu thực', 'D': 'Trừu tượng'}",B,Ấn tượng,Lập thể,Siêu thực,Trừu tượng,D,0
VH038,Lễ hội Carnival nổi tiếng nhất thế giới được tổ chức ở thành phố nào của Brazil?,"{'A': 'São Paulo', 'B': 'Brasília', 'C': 'Salvador', 'D': 'Rio de Janeiro'}",D,São Paulo,Brasília,Salvador,Rio de Janeiro,D,1
VH039,Đấu trường La Mã (Colosseum) được xây dựng để phục vụ cho các hoạt động giải trí nào?,"{'A': 'Đua ngựa', 'B': 'Các cuộc thi đấu võ sĩ giác đấu', 'C': 'Biểu diễn kịch', 'D': 'Các cuộc họp chính trị'}",B,Đua ngựa,Các cuộc thi đấu võ sĩ giác đấu,Biểu diễn kịch,Các cuộc họp chính trị,B,1
VH040,Nhã nhạc cung đình Huế được UNESCO công nhận là di sản văn hóa phi vật thể của nhân loại vào năm nào?,"{'A': '2000', 'B': '2003', 'C': '2005', 'D': '2008'}",B,2000,2003,2005,2008,D,0
VH041,Vị thần nào trong thần thoại Ai Cập có đầu là chó rừng và cai quản việc ướp xác và thế giới bên kia?,"{'A': 'Ra', 'B': 'Osiris', 'C': 'Anubis', 'D': 'Horus'}",C,Ra,Osiris,Anubis,Horus,D,0
VH042,Trà đạo là một nghệ thuật thưởng thức trà truyền thống của quốc gia nào?,"{'A': 'Trung Quốc', 'B': 'Việt Nam', 'C': 'Hàn Quốc', 'D': 'Nhật Bản'}",D,Trung Quốc,Việt Nam,Hàn Quốc,Nhật Bản,A,0
VH043,"Tác phẩm ""Don Quixote"" (Đôn-ki-hô-tê), một trong những tiểu thuyết vĩ đại nhất của văn học phương Tây, là của nhà văn nào?","{'A': 'William Shakespeare', 'B': 'Miguel de Cervantes', 'C': 'Dante Alighieri', 'D': 'Victor Hugo'}",B,William Shakespeare,Miguel de Cervantes,Dante Alighieri,Victor Hugo,C,0
VH044,Trang phục Kimono là trang phục truyền thống của quốc gia nào?,"{'A': 'Trung Quốc', 'B': 'Nhật Bản', 'C': 'Hàn Quốc', 'D': 'Mông Cổ'}",B,Trung Quốc,Nhật Bản,Hàn Quốc,Mông Cổ,A,0
VH045,Lễ hội Ánh sáng Diwali là một trong những lễ hội quan trọng nhất của tôn giáo nào?,"{'A': 'Hồi giáo', 'B': 'Phật giáo', 'C': 'Hindu giáo', 'D': 'Sikh giáo'}",C,Hồi giáo,Phật giáo,Hindu giáo,Sikh giáo,A,0
VH046,Điệu múa Hula truyền thống có nguồn gốc từ đâu?,"{'A': 'Tahiti', 'B': 'Samoa', 'C': 'Hawaii', 'D': 'New Zealand'}",C,Tahiti,Samoa,Hawaii,New Zealand,A,0
VH047,"Tín ngưỡng thờ cúng tổ tiên là một nét văn hóa đặc trưng của nhiều quốc gia châu Á, trong đó có Việt Nam. Tín ngưỡng này thể hiện điều gì?","{'A': 'Lòng biết ơn và hiếu thảo với ông bà, tổ tiên', 'B': 'Mong muốn được tổ tiên phù hộ, che chở', 'C': 'Sự gắn kết giữa các thế hệ trong gia đình, dòng họ', 'D': 'Tất cả các đáp án trên'}",D,"Lòng biết ơn và hiếu thảo với ông bà, tổ tiên","Mong muốn được tổ tiên phù hộ, che chở","Sự gắn kết giữa các thế hệ trong gia đình, dòng họ",Tất cả các đáp án trên,C,0
VH048,Kiến trúc của đền Taj Mahal ở Ấn Độ là sự kết hợp của những phong cách kiến trúc nào?,"{'A': 'Ấn Độ và Trung Quốc', 'B': 'Ấn Độ, Ba Tư và Hồi giáo', 'C': 'Ấn Độ và Hy Lạp', 'D': 'Ấn Độ và La Mã'}",B,Ấn Độ và Trung Quốc,"Ấn Độ, Ba Tư và Hồi giáo",Ấn Độ và Hy Lạp,Ấn Độ và La Mã,A,0
VH049,"Nhà hát Globe ở London, Anh, gắn liền với tên tuổi của nhà viết kịch vĩ đại nào?","{'A': 'Christopher Marlowe', 'B': 'Ben Jonson', 'C': 'William Shakespeare', 'D': 'Oscar Wilde'}",C,Christopher Marlowe,Ben Jonson,William Shakespeare,Oscar Wilde,C,1
VH050,"Hội Lim là một lễ hội lớn ở vùng Kinh Bắc (Bắc Ninh, Việt Nam) nổi tiếng với hoạt động văn hóa nào?","{'A': 'Hát Chèo', 'B': 'Hát Xoan', 'C': 'Hát Quan họ', 'D': 'Hát Trống quân'}",C,Hát Chèo,Hát Xoan,Hát Quan họ,Hát Trống quân,C,1
VH051,Nền văn minh Aztec cổ đại có trung tâm ở khu vực ngày nay là quốc gia nào?,"{'A': 'Peru', 'B': 'Colombia', 'C': 'Mexico', 'D': 'Brazil'}",C,Peru,Colombia,Mexico,Brazil,C,1
VH052,Oktoberfest là lễ hội bia lớn nhất thế giới được tổ chức hàng năm tại thành phố nào của Đức?,"{'A': 'Berlin', 'B': 'Hamburg', 'C': 'Frankfurt', 'D': 'Munich'}",D,Berlin,Hamburg,Frankfurt,Munich,D,1
VH053,"Trong ""Tứ đại danh tác"" của văn học Trung Quốc, tác phẩm nào kể về cuộc hành trình của bốn thầy trò Đường Tăng đi lấy kinh?","{'A': 'Tam quốc diễn nghĩa', 'B': 'Thủy hử', 'C': 'Tây du ký', 'D': 'Hồng lâu mộng'}",C,Tam quốc diễn nghĩa,Thủy hử,Tây du ký,Hồng lâu mộng,A,0
VH054,Nghệ thuật làm gốm Bát Tràng là một làng nghề truyền thống nổi tiếng ở đâu?,"{'A': 'Hà Nội', 'B': 'Huế', 'C': 'Đà Nẵng', 'D': 'Thành phố Hồ Chí Minh'}",A,Hà Nội,Huế,Đà Nẵng,Thành phố Hồ Chí Minh,C,0
VH055,Điệu nhảy Tango đam mê và quyến rũ có nguồn gốc từ quốc gia nào?,"{'A': 'Tây Ban Nha', 'B': 'Bồ Đào Nha', 'C': 'Ý', 'D': 'Argentina'}",D,Tây Ban Nha,Bồ Đào Nha,Ý,Argentina,B,0
VH056,"Vườn treo Babylon, một trong Bảy kỳ quan thế giới cổ đại, được cho là nằm ở quốc gia nào ngày nay?","{'A': 'Ai Cập', 'B': 'Iran', 'C': 'Iraq', 'D': 'Syria'}",C,Ai Cập,Iran,Iraq,Syria,B,0
VH057,Nhà triết học nào của Hy Lạp cổ đại được coi là người thầy của Alexander Đại đế?,"{'A': 'Socrates', 'B': 'Plato', 'C': 'Aristotle', 'D': 'Pythagoras'}",C,Socrates,Plato,Aristotle,Pythagoras,C,1
VH058,Lễ hội Đèn lồng được tổ chức vào ngày rằm tháng Giêng Âm lịch ở nhiều nước châu Á. Ý nghĩa chính của lễ hội này là gì?,"{'A': 'Cầu mong một năm mới tốt lành, may mắn', 'B': 'Tưởng nhớ người đã khuất', 'C': 'Mừng vụ mùa bội thu', 'D': 'Tôn vinh các vị thần'}",A,"Cầu mong một năm mới tốt lành, may mắn",Tưởng nhớ người đã khuất,Mừng vụ mùa bội thu,Tôn vinh các vị thần,B,0
VH059,Dòng sông nào được coi là linh thiêng nhất trong tín ngưỡng của người Hindu ở Ấn Độ?,"{'A': 'Sông Ấn', 'B': 'Sông Hằng', 'C': 'Sông Yamuna', 'D': 'Sông Brahmaputra'}",B,Sông Ấn,Sông Hằng,Sông Yamuna,Sông Brahmaputra,A,0
VH060,Làng cổ Shirakawa-go ở Nhật Bản nổi tiếng với kiểu kiến trúc nhà nào?,"{'A': 'Nhà sàn', 'B': 'Nhà rông', 'C': 'Nhà Gassho-zukuri (bàn tay cầu nguyện)', 'D': 'Nhà machiya'}",C,Nhà sàn,Nhà rông,Nhà Gassho-zukuri (bàn tay cầu nguyện),Nhà machiya,C,1
VH061,Lễ hội nào ở Việt Nam gắn liền với truyền thuyết Thánh Gióng bay về trời?,"{'A': 'Lễ hội Chùa Hương', 'B': 'Lễ hội Gióng', 'C': 'Lễ hội Đền Hùng', 'D': 'Lễ hội Yên Tử'}",B,Lễ hội Chùa Hương,Lễ hội Gióng,Lễ hội Đền Hùng,Lễ hội Yên Tử,B,1
VH062,"Trong thần thoại Bắc Âu, ai là vị thần của sấm sét, cầm trong tay cây búa Mjolnir?","{'A': 'Odin', 'B': 'Loki', 'C': 'Thor', 'D': 'Frey'}",C,Odin,Loki,Thor,Frey,C,1
VH063,"Thành phố Petra cổ đại, được mệnh danh là ""Thành phố hoa hồng"", nằm ở quốc gia nào?","{'A': 'Ai Cập', 'B': 'Israel', 'C': 'Jordan', 'D': 'Lebanon'}",C,Ai Cập,Israel,Jordan,Lebanon,D,0
VH064,Ngày của người chết (Día de los Muertos) là một lễ hội truyền thống đặc sắc của quốc gia nào?,"{'A': 'Mexico', 'B': 'Tây Ban Nha', 'C': 'Colombia', 'D': 'Peru'}",A,Mexico,Tây Ban Nha,Colombia,Peru,B,0
VH065,Nghệ thuật múa rối nước là một loại hình nghệ thuật sân khấu dân gian độc đáo của quốc gia nào?,"{'A': 'Thái Lan', 'B': 'Trung Quốc', 'C': 'Indonesia', 'D': 'Việt Nam'}",D,Thái Lan,Trung Quốc,Indonesia,Việt Nam,B,0
VH066,"Hệ thống chữ cái Latinh, được sử dụng rộng rãi trên thế giới ngày nay, có nguồn gốc từ hệ thống chữ viết của nền văn minh nào?","{'A': 'Hy Lạp', 'B': 'Ai Cập', 'C': 'La Mã', 'D': 'Phoenicia'}",C,Hy Lạp,Ai Cập,La Mã,Phoenicia,C,1
VH067,Võ sĩ Samurai là tầng lớp võ sĩ quý tộc trong xã hội phong kiến của quốc gia nào?,"{'A': 'Trung Quốc', 'B': 'Hàn Quốc', 'C': 'Nhật Bản', 'D': 'Mông Cổ'}",C,Trung Quốc,Hàn Quốc,Nhật Bản,Mông Cổ,A,0
VH068,Cà phê được cho là có nguồn gốc từ quốc gia nào ở châu Phi?,"{'A': 'Kenya', 'B': 'Ethiopia', 'C': 'Nigeria', 'D': 'Ghana'}",B,Kenya,Ethiopia,Nigeria,Ghana,D,0
VH069,"Quần thể Angkor Wat, một trong những di tích tôn giáo lớn nhất thế giới, là di sản của đế chế nào?","{'A': 'Đế chế Champa', 'B': 'Đế chế Khmer', 'C': 'Đế chế Sukhothai', 'D': 'Đế chế Ayutthaya'}",B,Đế chế Champa,Đế chế Khmer,Đế chế Sukhothai,Đế chế Ayutthaya,B,1
VH070,Tục lệ uống trà chiều (afternoon tea) là một nét văn hóa đặc trưng của quốc gia nào?,"{'A': 'Pháp', 'B': 'Ý', 'C': 'Đức', 'D': 'Anh'}",D,Pháp,Ý,Đức,Anh,C,0
VH071,"Bánh Chưng, Bánh Dày là những món ăn không thể thiếu trong dịp Tết Nguyên Đán của người Việt, gắn liền với sự tích về vị vua nào?","{'A': 'Vua Hùng thứ nhất', 'B': 'Vua Hùng thứ sáu', 'C': 'An Dương Vương', 'D': 'Lý Thái Tổ'}",B,Vua Hùng thứ nhất,Vua Hùng thứ sáu,An Dương Vương,Lý Thái Tổ,A,0
VH072,"Bộ luật Hammurabi, một trong những bộ luật thành văn cổ xưa nhất, là thành tựu của nền văn minh nào?","{'A': 'Ai Cập', 'B': 'Lưỡng Hà', 'C': 'La Mã', 'D': 'Hy Lạp'}",B,Ai Cập,Lưỡng Hà,La Mã,Hy Lạp,B,1
VH073,"Kịch Noh là một loại hình kịch mặt nạ cổ điển của Nhật Bản, thường có đặc điểm gì?","{'A': 'Sôi động và hài hước', 'B': 'Chuyển động chậm, mang tính biểu tượng và nội tâm', 'C': 'Sử dụng nhiều con rối', 'D': 'Có nhiều pha hành động và võ thuật'}",B,Sôi động và hài hước,"Chuyển động chậm, mang tính biểu tượng và nội tâm",Sử dụng nhiều con rối,Có nhiều pha hành động và võ thuật,D,0
VH074,Thành phố nào được coi là cái nôi của nền dân chủ thế giới?,"{'A': 'Rome', 'B': 'Athens', 'C': 'Sparta', 'D': 'Alexandria'}",B,Rome,Athens,Sparta,Alexandria,C,0
VH075,"Lễ Phục sinh là một ngày lễ quan trọng của tôn giáo nào, kỷ niệm sự sống lại của Chúa Jesus?","{'A': 'Hồi giáo', 'B': 'Do Thái giáo', 'C': 'Cơ đốc giáo', 'D': 'Hindu giáo'}",C,Hồi giáo,Do Thái giáo,Cơ đốc giáo,Hindu giáo,C,1
VH076,Không gian văn hóa Cồng Chiêng Tây Nguyên của Việt Nam được UNESCO vinh danh vì giá trị gì?,"{'A': 'Giá trị kiến trúc độc đáo', 'B': 'Giá trị âm nhạc và vai trò trong đời sống cộng đồng', 'C': 'Giá trị về ẩm thực', 'D': 'Giá trị về trang phục truyền thống'}",B,Giá trị kiến trúc độc đáo,Giá trị âm nhạc và vai trò trong đời sống cộng đồng,Giá trị về ẩm thực,Giá trị về trang phục truyền thống,B,1
VH077,"Nền văn minh Minoan, một nền văn minh thời đại đồ đồng, phát triển rực rỡ trên hòn đảo nào?","{'A': 'Sicily', 'B': 'Cyprus', 'C': 'Crete', 'D': 'Sardinia'}",C,Sicily,Cyprus,Crete,Sardinia,C,1
VH078,Nghệ thuật Thư pháp (Calligraphy) có vị trí đặc biệt quan trọng trong văn hóa của khu vực nào?,"{'A': 'Châu Âu', 'B': 'Châu Phi', 'C': 'Thế giới Ả Rập và Đông Á', 'D': 'Châu Mỹ Latinh'}",C,Châu Âu,Châu Phi,Thế giới Ả Rập và Đông Á,Châu Mỹ Latinh,C,1
VH079,"Tượng Nữ thần Tự do ở New York, Mỹ là món quà của quốc gia nào dành tặng cho Hoa Kỳ?","{'A': 'Anh', 'B': 'Đức', 'C': 'Ý', 'D': 'Pháp'}",D,Anh,Đức,Ý,Pháp,B,0
VH080,Lễ hội ném bột màu Holi là một lễ hội mùa xuân đầy màu sắc của người theo đạo nào ở Ấn Độ và Nepal?,"{'A': 'Phật giáo', 'B': 'Hồi giáo', 'C': 'Hindu', 'D': 'Sikh'}",C,Phật giáo,Hồi giáo,Hindu,Sikh,B,0
VH081,Loại hình nghệ thuật nào của Việt Nam được hình thành và phát triển ở vùng châu thổ sông Hồng?,"{'A': 'Đờn ca tài tử', 'B': 'Hát bội', 'C': 'Múa rối nước', 'D': 'Hát then'}",C,Đờn ca tài tử,Hát bội,Múa rối nước,Hát then,A,0
VH082,"Con đường Tơ lụa là một mạng lưới các tuyến đường thương mại cổ đại kết nối phương Đông và phương Tây, bắt nguồn từ quốc gia nào?","{'A': 'Ấn Độ', 'B': 'Ba Tư', 'C': 'Trung Quốc', 'D': 'Đế chế La Mã'}",C,Ấn Độ,Ba Tư,Trung Quốc,Đế chế La Mã,D,0
VH083,"Tác phẩm ""Bình Ngô đại cáo"" được coi là ""bản tuyên ngôn độc lập thứ hai"" của Việt Nam, là của tác giả nào?","{'A': 'Lý Thường Kiệt', 'B': 'Trần Hưng Đạo', 'C': 'Nguyễn Trãi', 'D': 'Lê Lợi'}",C,Lý Thường Kiệt,Trần Hưng Đạo,Nguyễn Trãi,Lê Lợi,B,0
